scenario,model_year,geography,subsector,metric,month,hour,is_weekday,value
scenario1,2030,6037,subsector1,electricity,1,0,FALSE,0.593521098171237
scenario1,2030,6037,subsector1,electricity,1,1,FALSE,0.1622963472362614
scenario1,2030,6037,subsector1,electricity,1,2,FALSE,0.3794093674536627
scenario1,2030,6037,subsector1,electricity,1,3,FALSE,0.3384176677006656
scenario1,2030,6037,subsector1,electricity,1,4,FALSE,0.23089367193428
scenario1,2030,6037,subsector1,electricity,1,5,FALSE,0.9861166562121554
scenario1,2030,6037,subsector1,electricity,1,6,FALSE,0.1756934168703409
scenario1,2030,6037,subsector1,electricity,1,7,FALSE,0.9491864506388471
scenario1,2030,6037,subsector1,electricity,1,8,FALSE,0.18085667664663208
scenario1,2030,6037,subsector1,electricity,1,9,FALSE,0.6722009946665997
scenario1,2030,6037,subsector1,electricity,1,10,FALSE,0.7826844714395762
scenario1,2030,6037,subsector1,electricity,1,11,FALSE,0.38442303992329474
scenario1,2030,6037,subsector1,electricity,1,12,FALSE,0.4499554245750672
scenario1,2030,6037,subsector1,electricity,1,13,FALSE,0.2778195380107519
scenario1,2030,6037,subsector1,electricity,1,14,FALSE,0.5310018936725676
scenario1,2030,6037,subsector1,electricity,1,15,FALSE,0.37056942254172054
scenario1,2030,6037,subsector1,electricity,1,16,FALSE,0.3531581107658399
scenario1,2030,6037,subsector1,electricity,1,17,FALSE,0.6203124008935257
scenario1,2030,6037,subsector1,electricity,1,18,FALSE,0.3133034214641839
scenario1,2030,6037,subsector1,electricity,1,19,FALSE,0.3028246346060316
scenario1,2030,6037,subsector1,electricity,1,20,FALSE,0.33391312139757723
scenario1,2030,6037,subsector1,electricity,1,21,FALSE,0.978388246361012
scenario1,2030,6037,subsector1,electricity,1,22,FALSE,0.11699014797362561
scenario1,2030,6037,subsector1,electricity,1,23,FALSE,0.9977679380856818
scenario1,2030,6037,subsector1,electricity,1,0,TRUE,0.4976482155706452
scenario1,2030,6037,subsector1,electricity,1,1,TRUE,0.7591556398686727
scenario1,2030,6037,subsector1,electricity,1,2,TRUE,0.053215902928707814
scenario1,2030,6037,subsector1,electricity,1,3,TRUE,0.7825765990999739
scenario1,2030,6037,subsector1,electricity,1,4,TRUE,0.6422850879402455
scenario1,2030,6037,subsector1,electricity,1,5,TRUE,0.655986479043998
scenario1,2030,6037,subsector1,electricity,1,6,TRUE,0.277462020912424
scenario1,2030,6037,subsector1,electricity,1,7,TRUE,0.9601246370307867
scenario1,2030,6037,subsector1,electricity,1,8,TRUE,0.5392937592185633
scenario1,2030,6037,subsector1,electricity,1,9,TRUE,0.07489881625459405
scenario1,2030,6037,subsector1,electricity,1,10,TRUE,0.7959980571867662
scenario1,2030,6037,subsector1,electricity,1,11,TRUE,0.08322170658481332
scenario1,2030,6037,subsector1,electricity,1,12,TRUE,0.47090456797304947
scenario1,2030,6037,subsector1,electricity,1,13,TRUE,0.33596304017157097
scenario1,2030,6037,subsector1,electricity,1,14,TRUE,0.7007167719284204
scenario1,2030,6037,subsector1,electricity,1,15,TRUE,0.8528611590987508
scenario1,2030,6037,subsector1,electricity,1,16,TRUE,0.4015621958151102
scenario1,2030,6037,subsector1,electricity,1,17,TRUE,0.13829165834520318
scenario1,2030,6037,subsector1,electricity,1,18,TRUE,0.09803984872330374
scenario1,2030,6037,subsector1,electricity,1,19,TRUE,0.7953305879399738
scenario1,2030,6037,subsector1,electricity,1,20,TRUE,0.2724792960824345
scenario1,2030,6037,subsector1,electricity,1,21,TRUE,0.3265165701142756
scenario1,2030,6037,subsector1,electricity,1,22,TRUE,0.26401553029717983
scenario1,2030,6037,subsector1,electricity,1,23,TRUE,0.5401898582717565
