id,name,sector,abbr
Single_Driver+Low_Income+Urban+Compact+BEV_100,"Composition = Single Driver, Income = Low Income, Urbanity = Urban, Class = Compact, Technology = BEV 100",,
Single_Driver+Low_Income+Urban+Compact+BEV_300,"Composition = Single Driver, Income = Low Income, Urbanity = Urban, Class = Compact, Technology = BEV 300",,
Single_Driver+Low_Income+Suburban+Compact+BEV_100,"Composition = Single Driver, Income = Low Income, Urbanity = Suburban, Class = Compact, Technology = BEV 100",,
Single_Driver+Low_Income+Suburban+Compact+BEV_300,"Composition = Single Driver, Income = Low Income, Urbanity = Suburban, Class = Compact, Technology = BEV 300",,
Single_Driver+Low_Income+Second_City+Compact+BEV_100,"Composition = Single Driver, Income = Low Income, Urbanity = Second City, Class = Compact, Technology = BEV 100",,
Single_Driver+Low_Income+Second_City+Compact+BEV_300,"Composition = Single Driver, Income = Low Income, Urbanity = Second City, Class = Compact, Technology = BEV 300",,
Single_Driver+Low_Income+Small_Town+Compact+BEV_100,"Composition = Single Driver, Income = Low Income, Urbanity = Small Town, Class = Compact, Technology = BEV 100",,
Single_Driver+Low_Income+Small_Town+Compact+BEV_300,"Composition = Single Driver, Income = Low Income, Urbanity = Small Town, Class = Compact, Technology = BEV 300",,
Single_Driver+Low_Income+Rural+Compact+BEV_100,"Composition = Single Driver, Income = Low Income, Urbanity = Rural, Class = Compact, Technology = BEV 100",,
Single_Driver+Low_Income+Rural+Compact+BEV_300,"Composition = Single Driver, Income = Low Income, Urbanity = Rural, Class = Compact, Technology = BEV 300",,
Single_Driver+Middle_Income+Urban+Compact+BEV_100,"Composition = Single Driver, Income = Middle Income, Urbanity = Urban, Class = Compact, Technology = BEV 100",,
Single_Driver+Middle_Income+Urban+Compact+BEV_300,"Composition = Single Driver, Income = Middle Income, Urbanity = Urban, Class = Compact, Technology = BEV 300",,
Single_Driver+Middle_Income+Suburban+Compact+BEV_100,"Composition = Single Driver, Income = Middle Income, Urbanity = Suburban, Class = Compact, Technology = BEV 100",,
Single_Driver+Middle_Income+Suburban+Compact+BEV_300,"Composition = Single Driver, Income = Middle Income, Urbanity = Suburban, Class = Compact, Technology = BEV 300",,
Single_Driver+Middle_Income+Second_City+Compact+BEV_100,"Composition = Single Driver, Income = Middle Income, Urbanity = Second City, Class = Compact, Technology = BEV 100",,
Single_Driver+Middle_Income+Second_City+Compact+BEV_300,"Composition = Single Driver, Income = Middle Income, Urbanity = Second City, Class = Compact, Technology = BEV 300",,
Single_Driver+Middle_Income+Small_Town+Compact+BEV_100,"Composition = Single Driver, Income = Middle Income, Urbanity = Small Town, Class = Compact, Technology = BEV 100",,
Single_Driver+Middle_Income+Small_Town+Compact+BEV_300,"Composition = Single Driver, Income = Middle Income, Urbanity = Small Town, Class = Compact, Technology = BEV 300",,
Single_Driver+Middle_Income+Rural+Compact+BEV_100,"Composition = Single Driver, Income = Middle Income, Urbanity = Rural, Class = Compact, Technology = BEV 100",,
Single_Driver+Middle_Income+Rural+Compact+BEV_300,"Composition = Single Driver, Income = Middle Income, Urbanity = Rural, Class = Compact, Technology = BEV 300",,
