id,name,state,time_zone
01001,AUTAUGA,AL,America/Chicago
01003,BALDWIN,AL,America/Chicago
01005,BARBOUR,AL,America/Chicago
01007,BIBB,AL,America/Chicago
01009,BLOUNT,AL,America/Chicago
01011,BULLOCK,AL,America/Chicago
01013,BUTLER,AL,America/Chicago
01015,CALHOUN,AL,America/Chicago
01017,CHAMBERS,AL,America/Chicago
01019,CHEROKEE,AL,America/Chicago
01021,CHILTON,AL,America/Chicago
01023,CHOCTAW,AL,America/Chicago
01025,CLARKE,AL,America/Chicago
01027,CLAY,AL,America/Chicago
01029,CLEBURNE,AL,America/Chicago
01031,COFFEE,AL,America/Chicago
01033,COLBERT,AL,America/Chicago
01035,CONECUH,AL,America/Chicago
01037,COOSA,AL,America/Chicago
01039,COVINGTON,AL,America/Chicago
01041,CRENSHAW,AL,America/Chicago
01043,CULLMAN,AL,America/Chicago
01045,DALE,AL,America/Chicago
01047,DALLAS,AL,America/Chicago
01049,DEKALB,AL,America/Chicago
01051,ELMORE,AL,America/Chicago
01053,ESCAMBIA,AL,America/Chicago
01055,ETOWAH,AL,America/Chicago
01057,FAYETTE,AL,America/Chicago
01059,FRANKLIN,AL,America/Chicago
01061,GENEVA,AL,America/Chicago
01063,GREENE,AL,America/Chicago
01065,HALE,AL,America/Chicago
01067,HENRY,AL,America/Chicago
01069,HOUSTON,AL,America/Chicago
01071,JACKSON,AL,America/Chicago
01073,JEFFERSON,AL,America/Chicago
01075,LAMAR,AL,America/Chicago
01077,LAUDERDALE,AL,America/Chicago
01079,LAWRENCE,AL,America/Chicago
01081,LEE,AL,America/Chicago
01083,LIMESTONE,AL,America/Chicago
01085,LOWNDES,AL,America/Chicago
01087,MACON,AL,America/Chicago
01089,MADISON,AL,America/Chicago
01091,MARENGO,AL,America/Chicago
01093,MARION,AL,America/Chicago
01095,MARSHALL,AL,America/Chicago
01097,MOBILE,AL,America/Chicago
01099,MONROE,AL,America/Chicago
01101,MONTGOMERY,AL,America/Chicago
01103,MORGAN,AL,America/Chicago
01105,PERRY,AL,America/Chicago
01107,PICKENS,AL,America/Chicago
01109,PIKE,AL,America/Chicago
01111,RANDOLPH,AL,America/Chicago
01113,RUSSELL,AL,America/Chicago
01115,SAINT CLAIR,AL,America/Chicago
01117,SHELBY,AL,America/Chicago
01119,SUMTER,AL,America/Chicago
01121,TALLADEGA,AL,America/Chicago
01123,TALLAPOOSA,AL,America/Chicago
01125,TUSCALOOSA,AL,America/Chicago
01127,WALKER,AL,America/Chicago
01129,WASHINGTON,AL,America/Chicago
01131,WILCOX,AL,America/Chicago
01133,WINSTON,AL,America/Chicago
02013,ALEUTIANS EAST,AK,America/Anchorage
02016,ALEUTIANS WEST,AK,America/Anchorage
02020,ANCHORAGE,AK,America/Anchorage
02050,BETHEL,AK,America/Anchorage
02060,BRISTOL BAY,AK,America/Anchorage
02068,DENALI,AK,America/Anchorage
02070,DILLINGHAM,AK,America/Anchorage
02090,FAIRBANKS NORTH STAR,AK,America/Anchorage
02100,HAINES,AK,America/Anchorage
02105,HOONAH-ANGOON,AK,America/Anchorage
02110,JUNEAU,AK,America/Anchorage
02122,KENAI PENINSULA,AK,America/Anchorage
02130,KETCHIKAN GATEWAY,AK,America/Anchorage
02150,KODIAK ISLAND,AK,America/Anchorage
02158,KUSILVAK,AK,America/Anchorage
02164,LAKE AND PENINSULA,AK,America/Anchorage
02170,MATANUSKA-SUSITNA,AK,America/Anchorage
02180,NOME,AK,America/Anchorage
02185,NORTH SLOPE,AK,America/Anchorage
02188,NORTHWEST ARCTIC,AK,America/Anchorage
02195,PETERSBURG,AK,America/Anchorage
02198,PRINCE OF WALES-HYDER,AK,America/Anchorage
02220,SITKA,AK,America/Anchorage
02230,SKAGWAY,AK,America/Anchorage
02240,SOUTHEAST FAIRBANKS,AK,America/Anchorage
02261,VALDEZ-CORDOVA,AK,America/Anchorage
02275,WRANGELL,AK,America/Anchorage
02282,YAKUTAT,AK,America/Anchorage
02290,YUKON-KOYUKUK,AK,America/Anchorage
04001,APACHE,AZ,Etc/GMT+7
04003,COCHISE,AZ,Etc/GMT+7
04005,COCONINO,AZ,Etc/GMT+7
04007,GILA,AZ,Etc/GMT+7
04009,GRAHAM,AZ,Etc/GMT+7
04011,GREENLEE,AZ,Etc/GMT+7
04012,LAPAZ,AZ,Etc/GMT+7
04013,MARICOPA,AZ,Etc/GMT+7
04015,MOHAVE,AZ,Etc/GMT+7
04017,NAVAJO,AZ,America/Denver
04019,PIMA,AZ,Etc/GMT+7
04021,PINAL,AZ,Etc/GMT+7
04023,SANTA CRUZ,AZ,Etc/GMT+7
04025,YAVAPAI,AZ,Etc/GMT+7
04027,YUMA,AZ,Etc/GMT+7
05001,ARKANSAS,AR,America/Chicago
05003,ASHLEY,AR,America/Chicago
05005,BAXTER,AR,America/Chicago
05007,BENTON,AR,America/Chicago
05009,BOONE,AR,America/Chicago
05011,BRADLEY,AR,America/Chicago
05013,CALHOUN,AR,America/Chicago
05015,CARROLL,AR,America/Chicago
05017,CHICOT,AR,America/Chicago
05019,CLARK,AR,America/Chicago
05021,CLAY,AR,America/Chicago
05023,CLEBURNE,AR,America/Chicago
05025,CLEVELAND,AR,America/Chicago
05027,COLUMBIA,AR,America/Chicago
05029,CONWAY,AR,America/Chicago
05031,CRAIGHEAD,AR,America/Chicago
05033,CRAWFORD,AR,America/Chicago
05035,CRITTENDEN,AR,America/Chicago
05037,CROSS,AR,America/Chicago
05039,DALLAS,AR,America/Chicago
05041,DESHA,AR,America/Chicago
05043,DREW,AR,America/Chicago
05045,FAULKNER,AR,America/Chicago
05047,FRANKLIN,AR,America/Chicago
05049,FULTON,AR,America/Chicago
05051,GARLAND,AR,America/Chicago
05053,GRANT,AR,America/Chicago
05055,GREENE,AR,America/Chicago
05057,HEMPSTEAD,AR,America/Chicago
05059,HOT SPRING,AR,America/Chicago
05061,HOWARD,AR,America/Chicago
05063,INDEPENDENCE,AR,America/Chicago
05065,IZARD,AR,America/Chicago
05067,JACKSON,AR,America/Chicago
05069,JEFFERSON,AR,America/Chicago
05071,JOHNSON,AR,America/Chicago
05073,LAFAYETTE,AR,America/Chicago
05075,LAWRENCE,AR,America/Chicago
05077,LEE,AR,America/Chicago
05079,LINCOLN,AR,America/Chicago
05081,LITTLE RIVER,AR,America/Chicago
05083,LOGAN,AR,America/Chicago
05085,LONOKE,AR,America/Chicago
05087,MADISON,AR,America/Chicago
05089,MARION,AR,America/Chicago
05091,MILLER,AR,America/Chicago
05093,MISSISSIPPI,AR,America/Chicago
05095,MONROE,AR,America/Chicago
05097,MONTGOMERY,AR,America/Chicago
05099,NEVADA,AR,America/Chicago
05101,NEWTON,AR,America/Chicago
05103,OUACHITA,AR,America/Chicago
05105,PERRY,AR,America/Chicago
05107,PHILLIPS,AR,America/Chicago
05109,PIKE,AR,America/Chicago
05111,POINSETT,AR,America/Chicago
05113,POLK,AR,America/Chicago
05115,POPE,AR,America/Chicago
05117,PRAIRIE,AR,America/Chicago
05119,PULASKI,AR,America/Chicago
05121,RANDOLPH,AR,America/Chicago
